ROUND;Date;timestamp;Coin;;;;;;;;;;;;;;
1;09.11.20;1604880000;SNX;;;;;;;;;;;;;;
2;16.11.20;1605484800;UNI;;;;;;;;;;;;;;
3;23.11.20;1606089600;YFI;;;;;;;;;;;;;;
4;30.11.20;1606694400;YFI;;;;;;;;;;;;;;
5; 7-12-2020;1607299200;COMP;;;;;;;;;;;;;;
6; 14-12-2020;1607904000;COMP;;;;;;;;;;;;;;
7;21.12.20;1608508800;SNX;;;;;;;;;;;;;;
8; 28-12-2020;1609113600;SNX;;;;;;;;;;;;;;
9;04.01.21;1609718400;UNI;;;;;;;;;;;;;;
10; 11-1-2021;1610323200;MKR;;;;;;;;;;;;;;
11; 18-1-2021;1610928000;REN;;;;;;;;;;;;;;
12;25.01.21;1611532800;UNI;;;;;;;;;;;;;;
13;01.02.21;1612137600;UNI;;;;;;;;;;;;;;
14; 15-2-2021;1612742400;UMA;;;;;;;;;;;;;;
15;15.02.21;1613347200;YFI;;;;;;;;;;;;;;
16; 22-2-2021;1613952000;REN;;;;;;;;;;;;;;
17;01.03.21;1614556800;DAI;;;;;;;;;;;;;;
18;08.03.21;1615161600;UNI;;;;;;;;;;;;;;
19; 15-3-2021;1615766400;WBTC;;;;;;;;;;;;;;
20;22.03.21;1616371200;UNI;;;;;;;;;;;;;;
21;29.03.21;1616976000;DAI;;;;;;;;;;;;;;
22; 5-4-2021;1617580800;COMP;;;;;;;;;;;;;;
23; 12-4-2021;1618185600;YFI;;;;;;;;;;;;;;
24; 19-4-2021;1618790400;MKR;;;;;;;;;;;;;;
25;26.04.21;1619395200;MKR;;;;;;;;;;;;;;
26; 3-5-2021;1620000000;COMP;;;;;;;;;;;;;;
27; 10-5-2021;1620604800;LINK;;;;;;;;;;;;;;
28; 17-5-2021;1621209600;DAI;;;;;;;;;;;;;;
29;24.05.21;1621814400;DAI;;;;;;;;;;;;;;
30;31.05.21;1622419200;UNI;;;;;;;;;;;;;;
31; 7-6-2021;1623024000;REN;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
