;event;logIndex;transactionIndex;transactionHash;address;blockHash;blockNumber;tournamentId;roundId;voterId;choices;weights;voiceCreditsUsed;choicesMade;currentVoiceCredits
0;VoteOccurred;248;68;"b""-\xc9\xf3i\xec\xf7*Yi\xb6\xef\xe3s\xc3\x85}j\x91\xfc\xbd\xf6\xe6\xae\xff\xb1'FE\xabE\xccM""";0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b'[g\xb6V""""\xa3\x83\x97\xbb\x9eJ\xfa/\xbe\x0bi\xc8\x9e\xd18\xd9\xf3\x99\x89Y\x00-\x12)\xb5\xb2'";5953941;1;2;1;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[4, 4, 4, 4, 4, 3, 2, 2, 1, 1];99;10;105
1;VoteOccurred;132;41;b'g\xfb-\x0c\x97N\xe0)\x8f}\xcd\xfc+\xb3\xf4\xca\x97yl\tE\xe7\xfd\x0bx^\xf2I\x88\x00\x8d\\';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xb5\xady\xcd\xee\x18@\xe0\x0e\x84G.\x1a\x03/1\xe4\xb6\xa8f\xcd\x8d\xc8\xc2s\x87\x7f\x18\x19`Y\xeb';5957490;1;2;4;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[3, 3, 3, 3, 3, 4, 3, 3, 3, 3];97;10;322
2;VoteOccurred;242;61;b'CL\n\xa2u\t[\xfbJ\xba>\xf14\xca:\xc97a\xa7\x12\x12\x92\x85_\xd9-\x99\xfeI\xee\x08\x15';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xc0\xbd{\xc3\xd4\xe9O\xc4\xa1\xa8^\xd5\x8cI1\x99\x14\x03M|\xec\xe6\x81A*&\xc2I\x99\x07.\xea';5987464;1;2;8;[2, 3, 4, 7, 9];[5, 3, 5, 4, 5];100;5;125
3;VoteOccurred;325;73;b'\xe2\x7f\x81\xc5\x8d\x1d\x030\xb7\x07\xad\xf1\xd0p\xea@&\xad\xcbP\x04-\xf3\tH\t\x84\x83\x17T^/';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xaa\x15!\xc0\xd3\xdd\x8d\xfd\xaa\xe0\xca\xe0\x03v\x06\xfc\xd5\x04\xf6\xf8m\xf4\xf3\xfc\xc2\x1d\x8b6\x93\xa0\x07\xa5';5989692;1;2;12;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[3, 3, 3, 3, 4, 3, 3, 3, 3, 3];97;10;1384
4;VoteOccurred;15;6;b'\x86\xc1\x82n=S\x9e\xe89\x1c\xaf\xb1\xda\xbcp\xc9b\\\x07q\\\x19\xa2\xaaZ\xb3\x82\x83\xd3\xf8\xabe';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xf7\xed\xfd\xbe\x0b<\xc3U\x9c\x1b\xa3L\x13)\x17\xcf\xfe\xfa\xae\x89~\xd9\x8b\x1e\xabG\xb7r\x9dF\xa1C';5990518;1;2;14;[7];[1];1;1;100
5;VoteOccurred;237;80;b'j[\x1f@\x05\xda\x01\x88Jw\xbbY\xed\xd0Y\x01ObzH~\xe3\xe3\xed:L\r8\x96yd\x1c';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b'\x0c\xd6h\xe1\xc4)\x18*1""\x16\xdf\x84\xd5\xf6^|r\xe9\t~O\xb4st\xb3Y\x96s(\x05\x7f'";5990724;1;2;2;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[4, 3, 3, 3, 3, 3, 3, 3, 4, 2];99;10;116
6;VoteOccurred;28;12;b'\x8a\xac\xdai\xcdt\x0f\x9f6\xe5F\xf5mYt\xc0\xc2\xb6cn\xe6\x7f\xf4\x81\xe5\x02\xe0\xbd\xf5(\xab\xf7';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\x9bX\xf4\xaa\x1a\xbdk\xe3\x1f\xc2\xeevx\xd4\xa2\xdc\xe66\xae\x96\xf6N\xefl\xa0:\xa3S\xfaB:\r';5991527;1;2;6;[7];[10];100;1;177
7;VoteOccurred;100;38;"b""[_u\xe3\xb7 \x8f8'\x87&g\xe87\xb3%\x1f%\xa5##hJ6\x1dGYx\x02\x8f\xde\x9e""";0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'R\x0c\x06\xc6\x02:\xea\xac\xcc\x9c\xe3H\xf8\xf7\xe7\x8eR[@@\xc6\x00Ii2+\x1f\xc9\xa0O0\x1d';5991895;1;2;13;[1, 3, 5, 6, 7, 8, 9, 10];[5, 3, 2, 6, 3, 2, 2, 3];100;8;229
8;VoteOccurred;411;137;b'=Y\x1e\xdbdP\xec3Sr\xaf\xa3\xff\xbbv\xde\xa0\xfb\xb4\xf4\x18\xbb#\xa1^w~\x85\xdb\xb2\x855';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b'Z\x83\x19\x9dc~\xb7\xce\t\xb4;\x91\x04&\x9b\x0bw*\xec\xb4\xe2\xb6\xcc\xd9\x19&6\x07\t\x19\xea\xf5'";5995446;1;2;11;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[2, 1, 2, 1, 2, 2, 1, 1, 1, 1];22;10;110
9;VoteOccurred;137;206;"b""\x89n6?\xb2\x9a\xf1\xbe\x81\x91Qq'~e\x8d3B\xf8\xb0\x9e\xbd\x99\x1dB\x80\xf7\xe2!A\xc1\x0e""";0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\x9d\x98\xc0F1YS\xf4\xae\xf6F\xb65[3\x8b\xdb\xc8j9\xfen\x0b\x0b\x8d\x9aa\xeb\x16\xd3\xda\xe3';5997656;1;2;16;[3, 7];[8, 6];100;2;100
10;VoteOccurred;50;20;b'\x8f\x89\x9ah\xe8:\x14\xff/\r\x88\xce\x19\r\xfaG\xeaK\x00\xe5\x07\x00B>\xbe\xe8ka\x9ap\x98=';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b'W\x98\x864\x1fO2\xc4HG\'\x8c\xa2*Z\x15\x94\x05\xa90\xc4\xda\xcc\xb0\x99D\xd7\xa8""\x1c\xc5\xa6'";6025273;1;2;18;[1, 5, 7, 9, 10];[5, 5, 4, 4, 4];98;5;100
11;VoteOccurred;231;60;b'\xdfH\xc37\x1f[%\x0e\xce\xb0\xc3\x16\xbe\x16\x05\x0fp\x9a\xf9\x9b\xf6\x9ak\x883!\xc3\x88Poe\xa2';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xea\xda.w\xcdy\xe8)\x0b\x07\x14T8\xce\xfa\x1b\x01=\xa3\xa0kQ\x0f\x10\xc7\x89\xc7\xad\xf4\xc8\xdb\x81';6039784;1;2;21;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[3, 3, 3, 3, 3, 3, 3, 4, 3, 3];97;10;100
12;VoteOccurred;219;40;b'\xd8 \x1d\xd1\xabL\xc3\xb74\x95V\xb7\x03\xb5\xb8\x7f\xefA\xc3vk\x08\xe5\xcb\x90\xb1V\xeb\xdb\xb6\xac\xd6';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b""Ix\x02\x7f\x03_\xf9'\xb9u\x8c[\x1e\xb5[\xd5\xc9\xac\x07\xb9l\xd9k\xf6\xd0A\xd1(:\xe8\rA""";6039902;1;2;22;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[3, 3, 3, 4, 3, 3, 3, 3, 3, 3];97;10;100
13;VoteOccurred;109;30;b'\xb0\xa3\xed\xad.\x08\xafp\xf6\x98\xedD\xbeSyZ*X+R\\n\xf3\xf3\xaay(\xed]\x08\xef8';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\x8b\xe7\xd2\xac\x8b/=\x97\xee\x90g\xe2\x08N)n*\x06a\x84\xdf\xa3C\xc7\xc0\x03\xec\xa4\xf1\xc0\xa9\xd8';6040157;1;2;23;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[3, 3, 3, 4, 3, 3, 3, 3, 3, 3];97;10;100
14;VoteOccurred;296;74;b'z\x82\xaf$4\xae^\xb7),\xa8A\xc8\xd1S\x8c\x8b\n\xb96\xc1\x96t\xe8\xc7\xc1 \xe0B\xc6.{';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xc8\xda&\xde\x11\xcc\xd7\xd8\xa6\xd7\x8e\xffi}\xf3SL\xb6A\xd4kg\xb2\xa9\xad\x8b\x15\xa9\xd7\xc4\x7fs';6043700;1;2;28;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[4, 2, 3, 2, 3, 3, 4, 2, 3, 4];96;10;118
15;VoteOccurred;29;16;b'\xb2\x07\xb0\x83\x82D\x12U\x05=z\x04\xa9YW\xdf.\xd4\xb4\xf6\xe0\xdc\xb3\xe12\xb3\xe9`,B\x97\xd0';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b""U\xcb\xde \xa3O\xde\xdb\x06\xcc\xe9\x8a\rUkP\xe2\xfa\xee\xaa[='\xb6G\x1f\xfb\x9e.\x0f\x84<""";6043805;1;2;20;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[4, 4, 4, 1, 4, 4, 1, 1, 1, 4];100;10;100
16;VoteOccurred;235;64;b'\x0e\xd1\x98\x00\xc0\xb4\xad~\x18\xe0\xe7\xe5\x91\xbd\xa4\xfd\x0e\xe8\xf2k\xd0\xec>\xb2\xbf\xb6\xbc\xbe_\xe1t\xfb';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\x1eV\x8e\xa2W\xe0\x19d\xe8n\xb3\x0fZ|\xca\xa9V\x992\xa3`\xe5~\xedEj\n\xadH\xfcz\xe8';6044232;1;2;29;[1, 3, 5, 6, 9, 10];[5, 3, 4, 3, 4, 5];100;6;116
17;VoteOccurred;314;71;b'uE\x93\x9c\xf2\xc49=\x976\xdb\x80]\x01\x9a\x7f\xcd4\xdd4i\x1a\xb1P\x98\x80)}\x92\xa6\xa6\xbb';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'\xd8p~#\xc6\x8f\xfc~\xee>\xecuJ\x89\x19\xba\x0b\xfb8\xdfC\xac\x89\x85\x1a.\xd0\x93\x8e\xb1\x11k';6047296;1;2;35;[1, 3, 4, 5];[5, 5, 5, 5];100;4;502
18;VoteOccurred;231;66;b'\x88\x0e\xf4\xf9(\xfa~uMoN\x0fqN\xe8\xb1u3\x19\xa2\xbf\x87\xa3\xd1\xf3\xdcwOY\xda\x02K';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;"b'\xe0\tM\xe6\x1b\xbd\r~\xc1\xff\xe1\xe1u\x00\xb3\xae""\xfa\x9e@\x99y*,\x86\xce\xe2\\x\xb54q'";6047527;1;2;37;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[4, 1, 4, 4, 4, 4, 4, 1, 1, 1];100;10;501
19;VoteOccurred;204;72;b'Y\x16\xb2$\x15\xb3O\xd0\xab\x1b&\x0e\x8f\xf7\xc1\x85L\xd3D\xf1\x85\xf1\xc5\xb4\x1fTb\xe7\xd7\x17\xf9 ';0xA6Bb733a61f2f4F09090781CCCD80929c9234b3f;b'-\x88}\xdb\x0b\xd9\xce\xcf\x1e\x8a\xcd\xa5\xb2\x1b\xa1\x1a\np6\xe2p\xa0\x8b\x12+\xb14\xb4dQ\x18\x15';6048319;1;2;40;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10];[2, 4, 4, 2, 4, 4, 2, 4, 2, 2];100;10;153
