voiceCredits,voterId,owner,round
105,1,0x288fE43139741F91a8Cbb6F4adD83811c794851b,"[30, 5]"
116,2,0x288fE43139741F91a8Cbb6F4adD83811c794851b,"[30, 5]"
109,3,0x288fE43139741F91a8Cbb6F4adD83811c794851b,"[30, 5]"
322,4,0x68aAA618D6B7F5C9363760AC473d91056Fc7aC01,"[30, 5]"
250,5,0x68aAA618D6B7F5C9363760AC473d91056Fc7aC01,"[30, 5]"
177,6,0x68aAA618D6B7F5C9363760AC473d91056Fc7aC01,"[30, 5]"
100,7,0x6d359982D9A750AC7e9b2a5211B390C8021A7F5f,"[30, 5]"
125,8,0x26098C24cA52ae70FF173817E2285A7971c22139,"[30, 5]"
100,9,0x93f513A75B6C737354ad71c054B9e66fF9B7Bd42,"[30, 5]"
152,10,0x93f513A75B6C737354ad71c054B9e66fF9B7Bd42,"[30, 5]"
110,11,0x185F5F1b81bd93b0D2D91c55Ca63dC06BB5314ac,"[30, 5]"
1384,12,0xeb65ec7260E5f81Ee1A8F00A25f2c382D838E37B,"[30, 5]"
229,13,0x804301A31895C7b08c83Fb37bbC1382C77D5A9e1,"[30, 5]"
100,14,0x4Bb85B540b0c310f8C235c78A5DF67d4b171e03F,"[30, 5]"
141,15,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
100,16,0xDec10D38f6A5CCa2a16cE5714e372D14aDf67742,"[30, 5]"
100,17,0x14Af1F801E88314a9a677A0D35517C1D43c51f51,"[30, 5]"
100,18,0xb86480BE80064e9ADDa8410eB5538BBc23aab7c8,"[30, 5]"
206,19,0xE319d04FEd54c473A956209cC90eCEBF6df3FB47,"[30, 5]"
100,20,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
100,21,0x67acB72ea79131bb6061470413221B3584Fce640,"[30, 5]"
100,22,0x67acB72ea79131bb6061470413221B3584Fce640,"[30, 5]"
100,23,0x67acB72ea79131bb6061470413221B3584Fce640,"[30, 5]"
141,24,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
141,25,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
141,26,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
116,27,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
118,28,0x185F5F1b81bd93b0D2D91c55Ca63dC06BB5314ac,"[30, 5]"
116,29,0xa32cc2f7BaE31c79aB75D0bc39182fd113c53790,"[30, 5]"
132,30,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
100,31,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
132,32,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
100,33,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
132,34,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
502,35,0x28de46689b899af843Ec549199AD70a75ad4d960,"[30, 5]"
132,36,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
501,37,0x28de46689b899af843Ec549199AD70a75ad4d960,"[30, 5]"
100,38,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
132,39,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
153,40,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4,"[30, 5]"
100,41,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
132,42,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
132,43,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
1358,44,0xeb65ec7260E5f81Ee1A8F00A25f2c382D838E37B,"[30, 5]"
132,45,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
2185,46,0xeb65ec7260E5f81Ee1A8F00A25f2c382D838E37B,"[30, 5]"
109,47,0x185F5F1b81bd93b0D2D91c55Ca63dC06BB5314ac,"[30, 5]"
132,48,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
1620,49,0xeb65ec7260E5f81Ee1A8F00A25f2c382D838E37B,"[30, 5]"
132,50,0xE8CB936a70BBc40f7557a5837546139752A893db,"[30, 5]"
168,51,0x804301A31895C7b08c83Fb37bbC1382C77D5A9e1,"[30, 5]"
100,52,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
104,53,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4,"[30, 5]"
3475,54,0xf300E342c7d275759C9049f4B178040dcFae1B70,"[30, 5]"
100,55,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4,"[30, 5]"
134,56,0x3dcbA64c3596aA254AD41502d8E15f9b54Aa6e61,"[30, 5]"
100,57,0x4140100f2229122245E981c3874ba29CC183c8Dc,"[30, 5]"
1346,58,0xf300E342c7d275759C9049f4B178040dcFae1B70,"[30, 5]"
100,59,0xaf78260c92a513C2700A98dD2A11c16e51e4EBF3,"[30, 5]"
118,60,0xcc7E4F0126Df47a84F53C8623659154a18c42239,"[30, 5]"
2903,61,0xf300E342c7d275759C9049f4B178040dcFae1B70,"[30, 5]"
100,62,0xb86480BE80064e9ADDa8410eB5538BBc23aab7c8,"[30, 5]"
334,63,0x5bEE938736df6cb720D54Db2dFb1e17786CAa318,"[30, 5]"
100,64,0x5bEE938736df6cb720D54Db2dFb1e17786CAa318,"[30, 5]"
118,65,0xcc7E4F0126Df47a84F53C8623659154a18c42239,"[30, 5]"
1261,66,0xf300E342c7d275759C9049f4B178040dcFae1B70,"[30, 5]"
134,67,0x3dcbA64c3596aA254AD41502d8E15f9b54Aa6e61,"[30, 5]"
100,68,0x1bF4423D76AA9FC3ACaa97ca416602817e90Ae7e,"[30, 5]"
100,69,0x5bEE938736df6cb720D54Db2dFb1e17786CAa318,"[30, 5]"
100,70,0xe6aAe6aF6e89CF9386994a47aB4C5127F7a5C4C8,"[30, 5]"
100,71,0xe6aAe6aF6e89CF9386994a47aB4C5127F7a5C4C8,"[30, 5]"
118,72,0xcc7E4F0126Df47a84F53C8623659154a18c42239,"[30, 5]"
134,73,0x93f513A75B6C737354ad71c054B9e66fF9B7Bd42,"[30, 5]"
100,74,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
1364,75,0xeb65ec7260E5f81Ee1A8F00A25f2c382D838E37B,"[30, 5]"
100,76,0x475c3D8ED09774069D028B4BC009fecB07f2517D,"[30, 5]"
100,77,0xaee49A2b3D6dB4D76d9994B829F2da3bd65626ad,"[30, 5]"
103,78,0x932632a152266d7c53371FbCe16dB0b6d4886F17,"[30, 5]"
100,79,0x61FA648c999E8C2F95D8fe6F3F3094AdDe8C26Ad,"[30, 5]"
100,80,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44,"[30, 5]"
100,81,0xA5a1a7d0bd4533F5B549Fb4915D839199E1ACE36,"[30, 5]"
