event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,tournamentId,roundId,voterId,choices,weights,voiceCreditsUsed,choicesMade,currentVoiceCredits,gasUsed,gasPrice,ethSpent,referer
VoteOccurred,45,61,b'\x14 \xe2\xfcs\xe2\x89\xa0\x8b\xa0\xbc\xc4\x85VK\\\x1f2\xe0\xdar\xae\xf1Q\xbb\x9e\x06\x19\xb55D%',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'qqC\xb8\xae\xad\x08\xa6\xb1\xe8e\xe5\x01V\xac\x91*Dtum\x14\xc0BFZw\x86\x86\xc1^\x81',11183353,1,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[2, 5, 4, 2, 3, 4, 2, 2, 3, 3]",100,10,569,546790,40000000000,0.0218716,0
VoteOccurred,239,89,b'z\xe9c\xeaO\xc6\xe0{\x04%\x1a\xc4\xa3\xe3\xd6F\x12\xe8;\xa3\xc6\x1bn\xd5\x1d\x10\x81BZ\xa3\xa6\xc8',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'FQ\xcdV\xc3)\x0f\x80\xacq\x15\xa3\xf8\xb4G\xe7\xd4\x1f\x87\xdf\x13B)Pw\x08\xd7\xb0\x8f@*\x8b',11185701,1,1,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[2, 6, 4, 2, 2, 2, 2, 3, 3, 3]",99,10,1226,396790,30000000000,0.0119037,0
VoteOccurred,124,77,b'r#@r\xc0_`7\xe0\xc2\xfe]\\\r\xe9\xc6\x01\xec\x95\xdd\xcb\x00x\x03\xd6W~=tt\xd8\x1f',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xfdb\x97\x93\xe8r\xc2\xe28\x18\x0b\xe12\xdb\xaaO\x05i\xda-\xe1\xf4\xe2\xf3BW9\xdda\x12\xbf\x04',11195705,1,1,6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[2, 7, 4, 1, 1, 3, 1, 1, 3, 3]",100,10,100,396790,29000000000,0.01150691,0
VoteOccurred,216,111,b'\xd9\x81\x92\xf9b#\xc5\x16&\xa1\xe4\x93k$k\xb0\xc8\xd8h\x02\x07n\xbd\xe8\xe1;\xf8\xef\xd5\x8c9\x8a',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'=.\xb7\xa8\xbe\xfb\xe4\x89\x88\xe4\xee\x06B\xc5\x05\xf5\xda\xd8\xb8L:\x98Fx`\xd3\x06BM\xefA\xf9',11205598,1,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[3, 2, 3, 3, 4, 3, 4, 4, 2, 2]",96,10,100,396790,33000000000,0.01309407,0
VoteOccurred,98,43,b'\x07\x17\x07\xa2\x8a}\xe2\x1b\x9f\xdc\x01{\xc8\xb9NJ~:\x00\xc7\xf8\xc73\xd5\xb3\xdb\xab\xe13\xe4\x1e\x88',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xaa\xf3\xbe\xe4\xd8<\xe1\xf5T+2\x98\x8d\x15K\xe1\x1a\xa8\xd48|{\xd5\xe3V\xcd/\x8e\xdf\x9d;\xdc',11217701,1,1,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 7, 1, 2, 2, 2, 3, 3, 3, 3]",99,10,100,396790,40000000000,0.0158716,0
VoteOccurred,265,154,"b""'\xa0\xdf\x98v\xd2<\x90\x8ft\x03\xe4\xe8+\xdc~y\xca\xb6\xb2\x90\x84\x08LC\x91_b17\x9d\xc9""",0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xa8\xedgG\xad\xc9\x842\x8b/X\x92\n\xe0GFY\x9d\x03E/\x95u\xe0`B\xed\x17\xbdhQ\xc2',11217711,1,1,5,"[1, 2, 4, 6, 8, 9, 10]","[4, 4, 3, 3, 5, 4, 3]",100,7,195,296035,31000001459,0.009177085431915065,0
VoteOccurred,117,158,b'Z\xa7\xc3\xd1\xda\xb8X\xb40\xc5\xb2?\x14E\xc0\xbd\x830\xb1\xc6|#PC\xc8\xa3\xe3\xe6! \xf02',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,"b';\xe6=B\xbd\xfd`\xd7\xca\x90\xc1\xf1u zAq\x86?\x1b\n5\xed\x82\\w\xce>\xdf-\xbb,'",11217827,1,1,10,"[1, 9, 10]","[5, 5, 5]",75,3,593,161698,20000000000,0.00323396,0
VoteOccurred,95,57,b'\xdb\x9b\xe8\xcd/\xf3\xda\xca\xc4\x11\x12\x8f\x17\xa2TC\xec\xd8\xdc2\x0b\x11&\x80\xc41\xfc\xf7\xccV?\xaa',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\x96\x96$Z\x18\\\xea\x80\x06\xff\x9ds\xe1~\x83K\x07q\xb2\x0e`9\r\x7f4\xf23\x0f\x7f\xbf+R',11218259,1,1,23,[1],[1],1,1,100,94517,25000000000,0.002362925,0
VoteOccurred,151,72,b'\xf7\xe4\x80u\xa0\xd1I@\x16e\xe2\x97\x99\xd8l\xa7\x98\xf0a\x15Us\xc1\xb5\xe5\x13O[f{Qg',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xa8\x00fb\r\xa0\xac\x1b*\xd3\x9df\xf4ufzP-\x99\xcd[T\xef\x01d\x91\xcf\x98\xbf\xfe\xb3\xed',11218464,1,1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[7, 1, 1, 5, 1, 1, 1, 4, 2]",99,9,100,363193,15100000000,0.0054842143,0
VoteOccurred,156,56,b'\xfb\x15\xb5\xbd\xe0\xad\x93\xa5\xf0\xc3p\xe6\x9e\xf9\x13\x06F\xb2x\xafe;\x15\xab)\x9f\xd8`\xe5\xd8lO',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\x9a\x89\xa6\xe2h4\x95R\x9e\x06\x06\x96\x1b\xa0\xf8obF\xe4G\x03\xba\xcf\xe2\x92\x02\xeco3\x84\xb2X',11224574,1,2,21,[3],[10],100,1,100,109517,14462399164,0.001583878569243788,0
VoteOccurred,37,13,b'\x14%|\xdc\xe4y~j\xe3*\xbcM\x0f\x06g\xfd\x0cn\x98\xae\xb2\x15\x12:\x15\\\x1d\xa4e\xa5BO',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xf3\xaf\xd3!\xce\xd4\x99ReB\x9a\xcb\x9a\x0f.d\xfbn6\xd1\x9dP\x85\x92TKOo\x8f\xc3In',11237161,1,2,56,[1],[10],100,1,100,109517,81000000000,0.008870877,0
VoteOccurred,169,90,"b'\x8f\x02rv\xbds\x8b\xf60\xb8\xa0Wl+|\xe8\xea\x9a,\x9a\x86\xa0\x9eC\x81\x18\x98\x8d\xb9\r\xc8\x11'",0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\x98\t^\xf1\xf8\xfd\xe8Q\x82\xe4{ \x8f\xaeA%`\x19\x10\x16H_b?on\xb3w\xfc\xfa\xa6\xc3',11249690,1,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[2, 4, 4, 2, 3, 3, 3, 5, 2, 2]",100,10,569,501790,51000000000,0.02559129,0
VoteOccurred,50,61,"b'\x00\xad|l\xc6\xe9"")\x93k\xba\xcc\x8f\xd8g\x97\xd9\x97\xf9\x1e\xc0Af\xa8\xc6\xe7\x9fu\xfar\x0br'",0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,"b'\x98\xa0,j\x94f\xbeM\xb0\xb8K\x85\\m\x9a\xa9\xecHT\xc5\x81t\xdaK\x1a\xa1\x0c\xf4^*2\x9e'",11258490,1,2,116,"[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 2, 4, 2, 2, 6, 4]",100,8,306,329620,12000001124,0.00395544037049288,0
VoteOccurred,226,59,b'Gg*\xc8\xa5\xd5^\xe7\xc2aD\xf3J\x05c8A\xac\xf4\xb5?\x94\xec\xfc\xceM\xdc\xdb\xef\xf2\xaf@',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xa9\x03T\xc4E2\xde\xad\x8b\xb9\x85\\\xf4\rG\xea\x023\xf8\xecE\xf4\xf5\xee@\x0f\x83\x9a)\xe3\x16\xdb',11261954,1,2,80,[4],[10],100,1,200,94517,23600000000,0.0022306012,0
VoteOccurred,144,104,b'\xb07\xe5\x99U\x02\xb0`\xb4Tk\x92\xad\x84\xe5\xfc;\xdb\xd6\xa6\x9a\xff^\x8aj\xed\xa3\xb6\xb0\xc8\x1b\xff',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,"b'\xaatx\x04\xe8\xab\xd7\xe7\x01\xd2\xf6u\xa6\xd8V\xc3\xf3\xca5""\xf5\xb4\xf2\x91r\xd4\xe3\x9c\xc7\x9e*\x11'",11262124,1,2,79,"[4, 7, 8, 9, 10]","[1, 4, 3, 5, 7]",100,5,100,228866,20500000000,0.004691753,0
VoteOccurred,299,108,b'PL\xdb\xe6M\xa5\xdc\xe3\xc2\x9b\x08=wW\xa0\x02\x06>\xc0\x01S\xc1q\x91\xd6r4\xe7\xae9i\x8a',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\xee(r=\x89`\xc2j\xd9\xd4\xa9\xca\xf5\xf4\xce\xbb\xcaDg\xf0\x0e.d&\xbb\x05\xfa`=\x85\xce\x1d',11262355,1,2,98,"[1, 6, 8, 10]","[5, 7, 1, 5]",100,4,100,195282,15840000000,0.00309326688,0
VoteOccurred,93,60,b'j\x1b\xc3\xf0\x96\xceG&8k\xb1\x9f\x8d/qG\xc1%\xdc\xdc:\x89s_\\\x9d\x08>K\xc5\xff\xf7',0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,"b'\xe8\xcf""R\xf5\xb4\xab\x14\xd9/\xfd[\x94\xf1\xa9\xb6\xa2\x17h-\x1b\xec\xfd\x97G\x87\xd8B\xa3\x16v\xae'",11263320,1,2,52,"[2, 4, 5, 6, 7, 9, 10]","[6, 4, 2, 1, 4, 3, 4]",98,7,100,296035,41000000000,0.012137435,0
VoteOccurred,122,67,"b""aa\xc1\\\x0e\xe8\xaf\xa0\xd8<I\xb9gd\x84\xa7\xa0T\xdb')j\xba\xb0\xb2\x1c\x96\xac\xbe*\x16\xc0""",0xEa6556E350cD0C61452a26aB34E69EBf6f1808BA,b'\x84.\x0e9D\xf5\x8fQ\x9eD\xb4&\xe9\xddp\x13m\x056\xad\x16\xd2y$\\\xd99\x93u^\xf2x',11263418,1,2,90,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[3, 4, 3, 3, 3, 3, 3, 3, 3, 3]",97,10,109,396790,37000000000,0.01468123,0
