voterIds,owner
1,0xB39A3Ec4Ef92F9335a4621B11Cc9e3c4Ebc66B7C
5,0x26098C24cA52ae70FF173817E2285A7971c22139
1,0xB49452313Eb74a3Cfa7b63DEbB9a6190b60a49A6
1,0x0d2689916c6F5b41F43C9983Ca08d3c9a7E41e09
2,0x54D35908413ceA0B84845C3936b6792b1afF56Cf
3,0x06C650735Ceed6E92c2F21981daa7DDb90A1D51d
2,0xDcbC0420319736f4dE871914BcB6d106177fCA7D
1,0x46F37c88535Ca9E4B5FEF27C2475dbC83922eE4e
1,0x5790c53da0c5ec030D98bB91B97e797F846f3294
1,0x54308ed7443f88E20dA36AFbBBc1138C0Ddba8ae
1,0x528452f6e88e3d1415e31941ae07124A6249Fe89
1,0xBFF7Fccf275d6c139f488965Ac836E46975c2b8A
1,0xF7A819DEBA0d69C4f3567cb9fAc04B05Ec3A6516
1,0xF18CB228F8eA1f25329E016BA85B7f7600ebe9fF
1,0x054fD152a7D0206d6e250841a99E6c63d56E48eb
1,0x3F231AF0806fe97eA13867B50F24D9681A61a3BB
1,0x0A030351815b6981674CBEC66583F073E8D00038
2,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E
1,0xF9687743fb84966f63afB100B0F6be8E4aEc374e
1,0x3e4A503ea62ff44c9611c04Cf2A46AC8eFf3d053
1,0x61E905731544429348Fe03476f50840da82ba679
2,0xE864166688e95618920e32619753E23175f189ce
1,0x45B15975EB9C230C39c8F4682C0c57f13835321D
1,0xbbb5d974b3c0496c72f62aFf33268DEB9bbeCC02
1,0x06f2D97500E1529F226adB2DcB68a1A8c5175157
3,0x0788373603522a79fCC5710910C20067f64BAD17
1,0x14Ce500a86F1e3aCE039571e657783E069643617
1,0xC065A07F9FE675D3a4B452A791e187bb4CEfAa43
1,0x7711A9a7Da504edF800Fe80f7E52A3aA33DAD07a
1,0x9E90e0212E16a651e40e54fb4Ffa315D03538a45
1,0xB4ad2885ba93301ca70402c0d0C99DD117E89A07
1,0x8b7eefE33B49265ad1ED2709a44298C7dD7EF943
